StartDate,EndDate,Duration (in seconds),ResponseId,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q13_4,Q13_5,Q14,Q15_4,Q15_10,Q15_9,Q15_7,Q15_8,Q15_11,Q15_5,Q15_12,Q16,Q17,Q18,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25
Start Date,End Date,Duration (in seconds),Response ID,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - ERFs (Extension Request Forms),What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater/Cru, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,How well do each of the following categories align with your academic interests? - STEM,How well do each of the following categories align with your academic interests? - Humanities,Which subject assigns the most homework? (Select one),"If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - CADS","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - English","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Fine Arts","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - History","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Math","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Mind/Body","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Science","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - World Language","If you had unlimited time and no graduation requirements, would you be interested in taking an interdisciplinary elective at Crystal (e.g., Climate Change and Policy, Bioethics, History of Art, Artificial Intelligence in Literature, etc.)?","If you answered yes to the previous question, which two departments would you most like to collaborate? (Select 2)","If you would like to explain your interests in interdisciplinary collaboration/electives in more detail, please do so below.",What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?
2/22/2021 11:35:41,2/22/2021 11:43:04,443,R_x3jm8lG9OrClADn,7.8,6,2,15,4,5.5,8,7,9,1,2,5,4,3,4,3,2,4,1,Plays/musicals,1,2,3,4,4,4,7,7,Science,7,4,6,2,5,8,1,3,Yes,"History,Science",,11,Female,,4,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 12:21:35,2/22/2021 12:27:20,345,R_yCPWQClzdDeeC2d,7.6,4,0,8,4,4,5,7,9,1,2,3,4,5,10,2,4,1,3,Sports,4,1,3,2,2,2,7,5,World Language,7,1,3,8,6,5,4,2,Yes,"English,Fine Arts",,10,Female,,5,Less than 15 minutes,Black or African-American,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:29:34,2/22/2021 11:33:40,246,R_3mlNlboyxwwxSAs,4,2,2,5,10,2.6,4.5,7.1,9,1,3,5,2,4,0.3,2,3,4,1,chamber ensemble,2,3,1,4,4,0.6,3,0,Math,2,5,3,7,4,8,1,6,No,,we need table tennis as a sport,10,Male,,4,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:33:08,2/22/2021 11:41:42,514,R_3syMLpYn24t9vsc,8,20,1,12,3,3,6,6,9,1,2,3,5,4,8,3,2,1,4,sports,4,2,3,1,2,1,6,4,Math,2,4,8,7,1,5,3,6,No,,,10,Male,,4,30 to 60 minutes,"Asian: East Asian,Native Hawaiian or Other Pacific Islander",,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:23,2/22/2021 11:43:55,451,R_1DvYRUR7HrZtwjY,7,16,1,3,6,3.5,9.3,6.7,8,1,2,4,3,5,2.6,2,4,1,3,,4,1,2,3,5,2.7,9,4,Science,8,5,1,7,2,3,4,6,Yes,"Fine Arts,Science",,11,Male,,4,Less than 15 minutes,Asian: East Asian,,Atheist,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 15:53:31,2/22/2021 15:56:50,198,R_1ffJxDAKgh9R1jb,8,8,0,12,2,5,10.4,7,10.8,1,2,3,5,4,7.4,3,4,2,1,,1,2,4,3,4,0.1,1,9,History,7,2,1,3,8,6,4,5,Yes,"Fine Arts,History",,12,Female,,4,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,Other (optional specification),spiritual,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:31:57,2/22/2021 11:37:21,324,R_3DnMEZrELiFFdkx,7.5,5,2,4,16,3,5,7,8.5,2,3,4,1,5,5,2,3,4,1,Student Government,2,1,4,3,5,5,9,7,History,8,6,2,5,3,7,1,4,Yes,"Fine Arts,Science",,11,Female,,5,15 to 30 minutes,Asian: East Asian,,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:57,2/22/2021 11:43:16,498,R_1ODBJGkuJfe5R2G,8.1,8,1,0,14,3,5,7.5,9,1,2,4,3,5,5,3,4,1,2,sports - swimming,2,3,1,4,2,2.5,7,7,English,2,5,6,1,7,8,3,4,Yes,"History,Science",,10,Male,,4,15 to 30 minutes,"Asian: East Asian,Multiracial,White",,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 12:02:36,2/22/2021 12:15:59,803,R_5nYp8SxaT9CdkDn,7.2,4,4,12,4,2.7,4.5,8.8,9.9,1,4,3,2,5,8.1,2,4,1,3,Football Practice after school,2,1,4,3,3,1,6,1,Science,6,7,5,2,1,8,3,4,Yes,"History,Math",Not really,9,Male,,4,Less than 15 minutes,"Hispanic or Latina/o/x,White",,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
