StartDate,EndDate,Duration (in seconds),ResponseId,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q13_4,Q13_5,Q14,Q15_4,Q15_10,Q15_9,Q15_7,Q15_8,Q15_11,Q15_5,Q15_12,Q16,Q17,Q18,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25
Start Date,End Date,Duration (in seconds),Response ID,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - ERFs (Extension Request Forms),What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater/Cru, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,How well do each of the following categories align with your academic interests? - STEM,How well do each of the following categories align with your academic interests? - Humanities,Which subject assigns the most homework? (Select one),"If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - CADS","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - English","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Fine Arts","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - History","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Math","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Mind/Body","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Science","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - World Language","If you had unlimited time and no graduation requirements, would you be interested in taking an interdisciplinary elective at Crystal (e.g., Climate Change and Policy, Bioethics, History of Art, Artificial Intelligence in Literature, etc.)?","If you answered yes to the previous question, which two departments would you most like to collaborate? (Select 2)","If you would like to explain your interests in interdisciplinary collaboration/electives in more detail, please do so below.",What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?
2/22/2021 11:35:53,2/22/2021 11:39:57,243,R_e35xy5u2kXsY7V7,6,0,0,0,0,1.5,1.5,6.5,9,1,2,3,4,5,6,4,3,1,2,sporta,3,2,1,4,1,5,4,6,Math,7,1,5,2,6,4,8,3,Yes,"English,History",,9,Male,,4,30 to 60 minutes,Hispanic or Latina/o/x,,Agnostic,,High school diploma or G.E.D
2/22/2021 11:28:17,2/22/2021 11:37:00,523,R_eDnt0raddiKwG1H,7.5,4,0,2,15,3.5,5.5,7,8.5,2,1,3,5,4,7,1,3,4,2,,1,3,4,2,1,5,9,3,Math,4,7,2,5,1,6,3,8,Yes,"Math,Science",,9,Female,,5,Less than 15 minutes,Multiracial,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 15:53:06,2/22/2021 16:02:21,554,R_1KpPtdYYIuCHIgl,6.8,2,0,3,8,4.2,4.3,7.7,10,1,2,5,4,3,5,3,4,1,2,basketball,3,1,2,4,4,3.5,2,2,Math,8,4,1,7,2,5,6,3,Yes,"Fine Arts,Science",,10,Female,,3 or fewer,15 to 30 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,Not sure/Prefer not to answer
2/22/2021 11:31:45,2/22/2021 11:38:02,377,R_1f1R6ClwGVuldao,10,1,2,2,15,7.9,12,3,12,1,3,2,4,5,1.9,2,3,4,1,Dance,2,4,3,1,1,1,10,3,Math,8,4,3,7,2,5,1,6,Yes,"English,Science",,10,Female,,4,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Buddhist,,High school diploma or G.E.D
2/22/2021 11:35:42,2/22/2021 11:40:05,262,R_elhWUHjrmspyiBP,6.4,12,1,5,3,3,5.9,9.9,10.4,2,1,3,4,5,6.1,2,3,1,4,Basketball team,2,1,3,4,4,3.2,5,5,World Language,5,2,4,1,6,7,3,8,Yes,"History,Math",,12,Male,,3 or fewer,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:53,2/22/2021 11:40:59,305,R_3nCoJIcLitfxybN,4,8,2,10,4,2,3,9,10,4,1,3,2,5,2,2,3,1,4,Sports,3,4,1,2,1,2,5,7,History,7,2,6,1,5,8,3,4,Yes,"English,History",,11,Male,,5,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:33:17,2/22/2021 11:40:41,444,R_3JsA569RXMtq90C,8.8,4,15,8,6,3,4.5,6.8,8,1,2,3,5,4,4,3,2,4,1,dance,2,3,4,1,0,2.2,3,7,World Language,6,7,2,1,8,4,5,3,Yes,"Fine Arts,History",,12,Male,,3 or fewer,30 to 60 minutes,Asian: East Asian,,Not sure/Prefer not to answer,,High school diploma or G.E.D
2/22/2021 16:36:32,2/23/2021 0:12:41,27368,R_Y6q0vI0rZMEXDPj,9,5,2,0,12,4,3,7,7.5,2,4,3,1,5,9,2,3,1,4,sports ,1,3,2,4,4,1,3,10,Science,5,6,1,7,2,4,3,8,Yes,"Fine Arts,Science",,9,Male,,4,30 to 60 minutes,Asian: East Asian,,Buddhist,,Did not finish high school
2/22/2021 11:36:05,2/22/2021 11:41:23,317,R_3qqH8Z0rYVjsdjA,6.2,1,0,0,3,1.3,2.6,5.7,8.2,2,1,3,4,5,4.6,1,4,2,3,sports,2,4,1,3,1,5,10,3,Math,1,6,7,4,2,8,3,5,Yes,"CADS,Fine Arts",,12,Male,,Prefer not to answer,Prefer not to answer,Prefer not to answer,,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 11:35:30,2/22/2021 11:45:42,611,R_2z6WsQhQ4gBQKIe,4,5,2,2,6,4,5.5,7.5,9,4,1,3,2,5,7.5,3,4,2,1,,4,1,3,2,3,3,6,6,English,8,5,4,6,2,7,1,3,Yes,"Math,Science",,10,Female,,4,30 to 60 minutes,Prefer to self-describe,Asian American,Other (optional specification),None,Not sure/Prefer not to answer
2/22/2021 11:35:27,2/22/2021 11:40:57,329,R_3I023Lf04pYWZzX,5.5,0,0,8,0,2,3.5,8,9.3,1,2,4,3,5,8.2,4,3,2,1,Volleyball/sports,3,1,4,2,4,0.9,10,0,Math,8,1,3,2,6,7,4,5,Yes,"English,History",,9,Female,,4,30 to 60 minutes,"Asian: Indian or South/Southeast Asian,Native Hawaiian or Other Pacific Islander",,Agnostic,,High school diploma or G.E.D
