StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q14,Q26_10,Q26_9,Q26_7,Q26_8,Q26_5,Q26_12,Q27_4,Q27_10,Q27_9,Q27_7,Q27_8,Q27_11,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,Which subject assigns the most homework? (Select one),What is your favorite subject? (Drag to rank) - English,What is your favorite subject? (Drag to rank) - Fine Arts,What is your favorite subject? (Drag to rank) - History,What is your favorite subject? (Drag to rank) - Math,What is your favorite subject? (Drag to rank) - Science,What is your favorite subject? (Drag to rank) - World Language,What is your favorite Crystal tradition? (Drag to rank) - Snow Day,What is your favorite Crystal tradition? (Drag to rank) - Lip Sync,What is your favorite Crystal tradition? (Drag to rank) - PoP Week,What is your favorite Crystal tradition? (Drag to rank) - Secret Gryphon,What is your favorite Crystal tradition? (Drag to rank) - Trivia Bowl,What is your favorite Crystal tradition? (Drag to rank) - Halls,What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?
2/22/2021 11:24:02,2/22/2021 11:27:08,IP Address,100,185,True,2/22/2021 11:27:09,R_BAfNsSCdBcEneKd,gl,EN,10,5,1,2,0,7.2,7.4,4,6.1,2,1,4,3,5.3,2,4,1,3,,1,4,2,3,3,3,World Language,2,1,3,5,4,6,1,2,3,5,6,4,7,Male,,Prefer not to answer,15 to 30 minutes,Prefer not to answer,,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:25:57,2/22/2021 11:28:51,IP Address,100,174,True,2/22/2021 11:28:52,R_1gNQgHCDHv3lUOh,gl,EN,5.3,10,1,2,7,3.5,4.2,5.1,8.4,2,1,3,4,10,1,4,3,2,Clubs,2,3,4,1,3,5,Math,2,1,4,6,5,3,1,2,3,5,4,6,8,Female,,4,60 minutes or more,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:22:43,2/22/2021 11:29:06,IP Address,100,383,True,2/22/2021 11:29:06,R_3O1ygTK6XK8OejH,gl,EN,5,8,1,2,7,6,0.5,8,10,2,1,3,4,8,1,4,2,3,Clubs.,1,3,2,4,3,2,Math,1,5,2,6,4,3,1,2,3,5,4,6,6,Female,,5,15 to 30 minutes,Asian: East Asian,,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:24:27,2/22/2021 11:29:47,IP Address,100,319,True,2/22/2021 11:29:47,R_2aFuCn0uHTSuihT,gl,EN,10,16,10,0,8,12,12,5.3,8.9,1,3,2,4,10,1,3,4,2,Less work,3,1,4,2,5,5,Science,2,3,4,6,5,1,1,3,2,4,6,5,7,Male,,Prefer not to answer,60 minutes or more,"Asian: Indian or South/Southeast Asian,Middle Eastern",,Other (optional specification),Christian Zoro Muslim Jew Sikh I’Baha,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:23:40,2/22/2021 11:30:06,IP Address,100,386,True,2/22/2021 11:30:06,R_cA3Iim9gD5XCw1j,gl,EN,7.7,10,1,5,7,1.9,4,8.7,9.7,4,1,2,3,8.7,3,1,2,4,I would choose to be on the soccer team.,1,2,4,3,5,4.7,Math,3,5,1,2,4,6,1,2,3,6,4,5,6,Male,,4,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,Sikh,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:23:08,2/22/2021 11:30:19,IP Address,100,431,True,2/22/2021 11:30:20,R_2QLFsD9NLrmr034,gl,EN,3,5,1,1,8,1.2,1,9,8.5,4,1,2,3,2,1,2,3,4,Idk yet,3,4,2,1,5,3,Math,1,6,2,3,5,4,4,2,1,6,5,3,6,Female,,6 or more,30 to 60 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:25:19,2/22/2021 11:30:29,IP Address,100,310,True,2/22/2021 11:30:30,R_1jfXiKlURAJC1fV,gl,EN,3.4,16,0,3,0,6.3,4,9,11,4,1,2,3,7.2,2,3,1,4,"Robotics, and Computer science",1,4,2,3,3,2.1,World Language,2,4,5,3,1,6,3,4,1,5,6,2,8,Male,,3 or fewer,30 to 60 minutes,Black or African-American,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:24:00,2/22/2021 11:31:47,IP Address,100,467,True,2/22/2021 11:31:48,R_3sn4z9w4lz5UYZO,gl,EN,7.5,2,0,0,2,1.6,2.4,6.1,10.1,2,1,3,4,4.5,2,3,4,1,Dance,2,3,4,1,1,2.5,World Language,2,1,4,3,5,6,1,4,2,3,5,6,7,Female,,5,30 to 60 minutes,Asian: East Asian,,Other (optional specification),,Not sure/Prefer not to answer
2/22/2021 11:24:31,2/22/2021 11:32:17,IP Address,100,466,True,2/22/2021 11:32:18,R_1d9T1j3rfOm11Zl,gl,EN,6,8,7,7,12,2,4.5,9,9.5,2,1,4,3,6,1,3,2,4,,3,1,2,4,3,3,Math,1,5,3,6,2,4,1,3,2,4,5,6,6,Male,,4,Less than 15 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
