,,Question ID,OptionsProvided,QuestionType,DataType,Response Options,Minimum (inclusive),Maximum (inclusive),Distribution
Q1,Privacy Statement,,,,,,,,
Q2,What does your free-time vs. obligations time balance look like?,Q2,TRUE,choice,number,range,0,10,
Q3_1,"Time Audit: Events and Extracurriculars - How many Crystal events do you attend per semester? (i.e., sports games, homecoming, dance, lunar banquet)",Q3_1,TRUE,choice,number,range,0,20,
Q3_2,Time Audit: Events and Extracurriculars - How many hours per week do you spend volunteering and/or doing community service?,Q3_2,TRUE,choice,number,range,0,20,
Q3_3,Time Audit: Events and Extracurriculars - How many hours per week do you spend participating in Crystal extracurriculars?,Q3_3,TRUE,choice,number,range,0,20,
Q3_4,Time Audit: Events and Extracurriculars - How many hours per week do you spend participating in non-Crystal extracurriculars?,Q3_4,TRUE,choice,number,range,0,20,
Q4_1,Time Audit: Homework - How many hours do you spend on homework on a given weekday?,Q4_1,TRUE,choice,number,range,0,12,
Q4_2,Time Audit: Homework - How many hours do you spend on homework on a given weekend (both days combined)?,Q4_2,TRUE,choice,number,range,0,12,
Q5_1,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Q5_1,TRUE,rank,number,range,0,12,
Q5_2,Time Audit: Sleep - How many hours of sleep on a typical weekend?,Q5_2,TRUE,rank,number,range,0,12,
Q6_1,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - Time Limits on Homework Length,Q6_1,TRUE,rank,number,range,1,5,
Q6_2,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - Two Major Assessment Limit Per Day,Q6_2,TRUE,rank,number,range,1,5,
Q6_3,What does Crystal do that causes you to get more sleep than usual? - Late Starts,Q6_3,TRUE,rank,number,range,1,5,
Q6_4,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - No Homework Weekends,Q6_4,TRUE,rank,number,range,1,5,
Q6_5,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - ERFs,Q6_5,TRUE,rank,number,range,1,5,
Q7,What is your level of satisfaction with the Crystal sports experience?,Q7,TRUE,choice,number,range,0,5,
Q8_1,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs Period Clubs,Q8_1,TRUE,rank,number,range,1,4,
Q8_2,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,Q8_2,TRUE,rank,number,range,1,4,
Q8_3,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,Q8_3,TRUE,rank,number,range,1,4,
Q8_4,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater, Music, Dance, Visual Arts)",Q8_4,TRUE,rank,number,range,1,4,
Q9,"If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",Q9,FALSE,open,text,,,,
Q10_1,What categories of events should Crystal focus on improving? (Drag to rank) - Arts,Q10_1,TRUE,rank,number,range,1,4,
Q10_2,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,Q10_2,TRUE,rank,number,range,1,4,
Q10_3,What categories of events should Crystal focus on improving?(Drag to rank) - Sports,Q10_3,TRUE,rank,number,range,1,4,
Q10_4,What categories of events should Crystal focus on improving?(Drag to rank) - Dances,Q10_4,TRUE,rank,number,range,1,4,
Q11,"During spirit weeks, how many days do you typically participate?",Q11,TRUE,choice,number,range,0,5,
Q12,Do you feel that Crystal has enough extracurricular activities related to your academic interests?,Q12,TRUE,choice,number,range,0,5,
Q14,What subject assigns the most homework? (Select one),Q14,TRUE,choice,text,"Math, Science, History, English, World Language, Fine Arts",,,
Q26_1,What's your favorite subject? (Drag to rank) - Math,Q26_1,TRUE,rank,number,range,1,6,
Q26_2,What's your favorite subject? (Drag to rank) - Science,Q26_2,TRUE,rank,number,range,1,6,
Q26_3,What's your favorite subject? (Drag to rank) - English,Q26_3,TRUE,rank,number,range,1,6,
Q26_4,What's your favorite subject? (Drag to rank) - History,Q26_4,TRUE,rank,number,range,1,6,
Q26_5,What's your favorite subject? (Drag to rank) - World Language,Q26_5,TRUE,rank,number,range,1,6,
Q26_6,What's your favorite subject? (Drag to rank) - Fine Arts,Q26_6,TRUE,rank,number,range,1,6,
Q27_1,What is you favorite Crystal tradition? (Drag to rank) - Snow Day,Q27_1,TRUE,rank,number,range,1,6,
Q27_2,What is you favorite Crystal tradition? (Drag to rank) - Lip Sync,Q27_2,TRUE,rank,number,range,1,6,
Q27_3,What is you favorite Crystal tradition? (Drag to rank) - PoP Week,Q27_3,TRUE,rank,number,range,1,6,
Q27_4,What is you favorite Crystal tradition? (Drag to rank) - Trivia Bowl,Q27_4,TRUE,rank,number,range,1,6,
Q27_5,What is you favorite Crystal tradition? (Drag to rank) - Secret Gryphon,Q27_5,TRUE,rank,number,range,1,6,
Q27_6,What is you favorite Crystal tradition? (Drag to rank) - Halls,Q27_6,TRUE,rank,number,range,1,6,
Q19,What is your grade level?,Q19,TRUE,choice,number,"6,7,8",6,8,"{'6':75,'7':72,'8':71}"
Q20_1,What is your gender identity? - Selected Choice,Q20_1,TRUE,choice,text,"Male,Female,Non-binary,Other (optional specification),Prefer not to say",,,"{""Female"": 243 / 472, ""Male"": 212 / 472, ""Other"": 17 / 472, ""Prefer not to say"": 0, ""Non-binary"": 0}"
Q20_4_TEXT,What is your gender identity? - Other (optional specification) - Text,Q20_4_TEXT,FALSE,open,text,,,,
Q21,How many people do you live with (including yourself)?,Q21,TRUE,choice,text,"3 or fewer,4,5,6 or more,Prefer not to answer",3,6,
Q22,How long is your average commute to school?,Q22,TRUE,choice,text,"Less than 15 minutes,15 to 30 minutes,30 to 60 minutes,60 minutes or more",,,
Q23,What is your racial or ethnic identification? (select all that apply),Q23,TRUE,choice,text,"American Indian or Alaskan Native,Asian: East Asian,Asian: Indian or South/Southeast Asian,Black or Aftrican-American,Hispanic or Latina/o/x,Middle Eastern,Multiracial,Native Hawaiin or Other Pacific Islander,White, Prefer to self describe,Prefer not to respond",,,"{""American Indian or Alaskan Native"": 4 / 472, ""Indian"": 0 / 472, ""East Asian"": 231 / 472, ""Other Asian"": 231 / 472, ""Black or African American"": 20 / 472, ""Hispanic or Latino"": 45 / 472, ""Middle Eastern"": 15 / 472, ""Multiracial"": 61 / 472, ""Native Hawaiian or Other Pacific Islander"": 15 / 472, ""White"": 203 / 472, ""Other"": 16 / 472, ""I prefer not to respond"": 19 / 472}"
Q23_10_TEXT,What is your racial or ethnic identification? (select all that apply) - Other - Text,Q23_10_TEXT,FALSE,open,text,,,,
Q24,With what religious affiliation do you most closely identify? - Selected Choice,Q24,TRUE,choice,text,"Agnositc,Atheist,Buddhist,Christian (Protestant, Catholic, Orthodox, etc.),Hindu,Jewish,Muslim,Sikh,Other (Optional: please specify),Not sure/Prefer not to answer",,,
Q24_9_TEXT,With what religious affiliation do you most closely identify? - Other - Text,Q24_9_TEXT,FALSE,open,text,,,,
Q25,What is the highest level of education completed by either of your parents or guardians?,Q25,TRUE,choice,text,"Did not finish highschool,High school diploma or G.E.D,College Degree (ex: Associates degree, Bachelor's degree, etc.),Graduate/Professional Degree(M.A., M.S., Ph.D., M.D., M.B.A., etc.), Not sure/Prefer not to answer",,,
