Question ID,OptionsProvided,QuestionType,DataType,Response Options,Minimum (inclusive),Maximum (inclusive)
Q1_1,TRUE,rank,number,range,1,4
Q1_2,TRUE,rank,number,range,1,4
Q1_3,TRUE,rank,number,range,1,4
Q1_4,TRUE,rank,number,range,1,4
Q1_5,TRUE,rank,number,range,1,4
Q1_5_TEXT,FALSE,open,text,,,
Q3,TRUE,choice,text,"Always,Often,Sometimes",,
Q4_1,TRUE,choice,number,range,0,5
Q5,TRUE,choice,number,range,0,5
Q6_1,TRUE,rank,number,range,1,4
Q6_2,TRUE,rank,number,range,1,4
Q6_3,TRUE,rank,number,range,1,4
Q6_4,TRUE,rank,number,range,1,4
Q9_1,TRUE,choice,number,range,0,10
Q9_2,TRUE,choice,number,range,0,10
Q9_3,TRUE,choice,number,range,0,10
Q9_4,TRUE,choice,number,range,0,10
Q10_1,TRUE,choice,number,range,0,10
Q12_1,TRUE,rank,number,range,1,7
Q12_2,TRUE,rank,number,range,1,7
Q12_3,TRUE,rank,number,range,1,7
Q12_4,TRUE,rank,number,range,1,7
Q12_5,TRUE,rank,number,range,1,7
Q12_6,TRUE,rank,number,range,1,7
Q12_7,TRUE,rank,number,range,1,7
Q13_1,FALSE,open,number,,,
Q13_2,FALSE,open,number,,,
Q14_1,TRUE,rank,number,range,1,4
Q14_2,TRUE,rank,number,range,1,4
Q14_3,TRUE,rank,number,range,1,4
Q14_4,TRUE,rank,number,range,1,4
Q15_1,TRUE,rank,number,range,1,4
Q15_2,TRUE,rank,number,range,1,4
Q15_3,TRUE,rank,number,range,1,4
Q15_4,TRUE,rank,number,range,1,4
Q16,FALSE,open,text,,,
Q17,TRUE,choice,text,"Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree",,
Q18,TRUE,rank,number,range,1,7
Q19_1,TRUE,rank,number,range,1,7
Q19_2,TRUE,rank,number,range,1,7
Q19_3,TRUE,rank,number,range,1,7
Q19_4,TRUE,rank,number,range,1,7
Q19_5,TRUE,rank,number,range,1,7
Q19_6,TRUE,rank,number,range,1,7
Q19_7,TRUE,rank,number,range,1,7
Q21,TRUE,multiple_choice,text,"History,English,Language,Math,Science,CADS,Arts",,
Q22,TRUE,choice,text,"Female,Male,Prefer not to say",,
Q22_4_TEXT,FALSE,open,text,,,
Q23,TRUE,choice,number,range,6,12
Q24,TRUE,multiple_choice,text,,,
Q25,TRUE,choice,text,,,
Q26,TRUE,choice,text,,,
Q26_11_TEXT,FALSE,open,text,,,
Q27,TRUE,choice,number,range,0,7
