StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_5_TEXT,Q3,Q4_1,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q21,Q22,Q22_4_TEXT,Q23,Q24,Q25,Q26,Q26_11_TEXT,Q27,Q16 - Parent Topics,Q16 - Topics
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What type of Crystal events should the administration focus on improving? - Arts,What type of Crystal events should the administration focus on improving? - Culture/Holidays,What type of Crystal events should the administration focus on improving? - Sports,What type of Crystal events should the administration focus on improving? - Dances,What type of Crystal events should the administration focus on improving? - Other,What type of Crystal events should the administration focus on improving? - Other - Text,How often do you attend Crystal events?,"During spirit weeks, how many days do you typically participate? - Days participated",How often do you attend spirit events per month?,What type of Crystal activities do you find most engaging? - Club-Period Clubs,What type of Crystal activities do you find most engaging? - Afterschool Clubs,What type of Crystal activities do you find most engaging? - Sports,What type of Crystal activities do you find most engaging? - Theater,How many hours per week do you spend... - Participating in non-Crystal extracurriculars?,How many hours per week do you spend... - Participating in Crystal extracurriculars?,How many hours per week do you spend... - On homework on weekdays?,How many hours per week do you spend... - On homework on weekends?,What does your free-time vs. obligations time balance look like?,What subject assigns the most homework? - Math,What subject assigns the most homework? - Science,What subject assigns the most homework? - History,What subject assigns the most homework? - English,What subject assigns the most homework? - Language,What subject assigns the most homework? - Art,What subject assigns the most homework? - CADS,How many hours do you sleep every day... - On the weekend,How many hours do you sleep every day... - During the week,Which Crystal programs cause you to get more sleep than usual? - No HW Weekends,Which Crystal programs cause you to get more sleep than usual? - Late Starts,Which Crystal programs cause you to get more sleep than usual? - Three Major Assessment Limit Per Day,Which Crystal programs cause you to get more sleep than usual? - Time Limits on HW Length,What causes you to lose sleep? - Multiple Assessments,What causes you to lose sleep? - Too Much Homework,What causes you to lose sleep? - Sports Games,What causes you to lose sleep? - Theater Productions,What is your planned major?,Crystal has enough extracurricular activities related to your academic interests/ambitions.,Are there any elective courses you would like Crystal to offer in the future? (Ex: Astronomy),For what department does Crystal need more elective courses? - Math,For what department does Crystal need more elective courses? - Science,For what department does Crystal need more elective courses? - History,For what department does Crystal need more elective courses? - English,For what department does Crystal need more elective courses? - Language,For what department does Crystal need more elective courses? - Arts,For what department does Crystal need more elective courses? - CADS,Which departments would you most like to collaborate if interdisciplinary electives were to be added? (Select 2-3),What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,What is your grade level?,What is your racial or ethnic identification? (select all that apply),What is the highest level of education completed by either of your parents or guardians?,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other - Text,How many people do you live with?,Q16 - Parent Topics,Q16 - Topics
1/13/2021 10:37:46,1/13/2021 10:39:45,IP Address,100,118,True,1/13/2021 10:39:45,R_0c71V8f62Vfihe9,email,EN,2,3,1,4,5,yes,Always,3,4,3,2,4,1,5,4,7,4,7,2,5,1,6,4,7,3,8,2,2,3,1,,3,1,4,2,S-Science,Strongly agree,NO,1,4,2,3,5,6,7,Math,,,,,,,,,,Unknown
1/13/2021 10:43:19,1/13/2021 10:45:06,IP Address,100,107,True,1/13/2021 10:45:07,R_3q7qouXqooL8ciw,email,EN,1,4,2,3,5,lLll,Often,2,5,1,3,2,4,5,7,6,4,7,4,1,2,6,3,5,7,13,4,1,3,2,,2,1,4,3,H-Humanities,Somewhat disagree,Astronomy,1,2,5,3,6,7,4,Language,,,,,,,,,,Unknown
1/13/2021 10:54:11,1/13/2021 10:54:53,IP Address,100,42,True,1/13/2021 10:54:53,R_1hM9f8qRiXeHppl,gl,EN,,,,,,,Often,2,0,2,3,1,4,2,1,0,3,7,,,,,,,,7,4,,,,,,,,,afds,Strongly agree,astro,,,,,,,,"Math,Science,History",,,,,,,,,,
1/13/2021 11:47:59,1/13/2021 11:52:45,IP Address,100,286,True,1/13/2021 11:52:45,R_2R96BZq1iFKOSdd,gl,EN,1,2,3,4,5,,Sometimes,1,0,1,2,3,4,2,1,4,11+,9,1,2,3,4,5,6,7,8,10,1,2,3,4,1,2,3,4,Psychology ,Strongly agree,,1,2,3,4,5,6,7,"Math,Science",Female,,11,White,"Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",Athiest,,6,,
1/13/2021 11:48:23,1/13/2021 11:53:46,IP Address,100,322,True,1/13/2021 11:53:46,R_2qgfSv1uJs7zFfU,gl,EN,1,3,4,5,2,Gatherings ,Sometimes,1,4,2,3,1,4,4,5,9,5,6,1,3,5,4,6,2,7,7,11,1,2,4,3,3,1,2,4,S-engineering ,Strongly agree,Astrology ,1,3,2,4,5,6,7,"Science,Language",Prefer not to say,,8,East Asian,"Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",Agnostic,,7+,,
1/13/2021 11:53:08,1/13/2021 12:01:21,IP Address,100,492,True,1/13/2021 12:01:21,R_2WMrWJXjbYyFtr8,gl,EN,4,3,1,2,5,,Often,3,2,2,3,1,4,2,10,3,3,6,5,1,4,2,3,6,7,10,8,1,2,4,3,2,1,3,4,I don't fucking know,Somewhat agree,Theatre,2,1,3,5,4,6,7,"History,English,Language",Male,,12,White,"Master's degree(M.A., M.S., etc.)",Protestant Christian,,5,,
1/13/2021 11:58:36,1/13/2021 12:02:02,IP Address,100,205,True,1/13/2021 12:02:02,R_cBj4iTusuRtPPzj,gl,EN,1,2,3,4,5,,Often,2,2,3,2,4,1,2,7,3,4,8,3,4,5,2,6,7,1,8,10,2,1,3,4,3,2,4,1,Electrical Engineering,Somewhat agree,,4,3,5,6,7,2,1,"Science,Arts,CADS",Male,,12,White,"Master's degree(M.A., M.S., etc.)",Jewish,,2,,
1/13/2021 12:01:43,1/13/2021 12:05:06,IP Address,100,202,True,1/13/2021 12:05:06,R_2rHhVzkbzBcx7VL,gl,EN,1,2,3,4,5,,Always,3,2,1,2,3,4,0,2,5,3,4,7,1,2,3,4,5,6,7,7,2,1,3,4,2,1,3,4,math,Strongly agree,no,1,2,3,6,4,5,7,"Math,Arts",Male,,11,White,"Master's degree(M.A., M.S., etc.)",Jewish,,4,,
1/13/2021 13:11:00,1/13/2021 13:24:06,IP Address,100,786,True,1/13/2021 13:24:07,R_pMZ0PwqjzEnERG1,gl,EN,3,4,2,1,5,,Sometimes,2,1,1,3,4,2,4,1,3,6,7,6,4,1,3,5,7,2,8,7,1,3,2,4,2,1,3,4,,Neither agree nor disagree,,1,2,5,4,6,7,3,"Science,CADS",Female,,11,White,"Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",Athiest,,4,,
