,,Question ID,OptionsProvided,QuestionType,DataType,Response Options,Minimum (inclusive),Maximum (inclusive),Distribution
Q1_1,What does your free-time vs. obligations time balance look like?,Q1_1,TRUE,choice,number,range,0,10,
Q2_1,"During spirit weeks, how many days do you typically participate?",Q2_1,TRUE,choice,number,range,0,5,
Q3_1,"Time Audit: Events and Extracurriculars - How many Crystal events do you attend per semester? (i.e., sports games, homecoming, dance, lunar banquet)",Q3_1,TRUE,choice,number,range,0,9,
Q3_2,Time Audit: Events and Extracurriculars - How many hours per week do you spend participating in Crystal extracurriculars?,Q3_2,TRUE,choice,number,range,0,9,
Q3_3,Time Audit: Events and Extracurriculars - How many hours per week do you spend participating in non-Crystal extracurriculars?,Q3_3,TRUE,choice,number,range,0,9,
Q3_4,Time Audit: Events and Extracurriculars - How many hours per week do you spend volunteering and/or doing community service?,Q3_4,TRUE,choice,number,range,0,9,
Q4_1,Time Audit: Academics - How many hours do you spend on homework on a given weekday?,Q4_1,TRUE,choice,number,range,1,6,
Q4_2,Time Audit: Academics - How many hours do you spend on homework on a given weekend (both days combined)?,Q4_2,TRUE,choice,number,range,1,6,
Q5_1,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Q5_1,TRUE,rank,number,range,5,10,
Q5_2,Time Audit: Sleep - How many hours of sleep on a typical weekend?,Q5_2,TRUE,rank,number,range,5,10,
Q6_1,What type of Crystal events should the administration focus on improving? (Drag to rank) - Arts,Q6_1,TRUE,rank,number,range,1,4,
Q6_2,What type of Crystal events should the administration focus on improving? (Drag to rank) - Culture/Holidays,Q6_2,TRUE,rank,number,range,1,4,
Q6_3,What type of Crystal events should the administration focus on improving? (Drag to rank) - Sports,Q6_3,TRUE,rank,number,range,1,4,
Q6_4,What type of Crystal events should the administration focus on improving? (Drag to rank) - Dances,Q6_4,TRUE,rank,number,range,1,4,
Q7_1,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - Clubs Period Clubs,Q7_1,TRUE,rank,number,range,1,4,
Q7_2,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - After School Clubs,Q7_2,TRUE,rank,number,range,1,4,
Q7_3,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - Sports Games,Q7_3,TRUE,rank,number,range,1,4,
Q7_4,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - Theater Productions,Q7_4,TRUE,rank,number,range,1,4,
Q8_1,What is your level of satisfaction with the Crystal sports experience?,Q8_1,TRUE,choice,number,range,1,5,
Q9_1,What does Crystal do that causes you to get more sleep than usual? - Time Limits on Homework,Q9_1,TRUE,rank,number,range,1,5,
Q9_2,What does Crystal do that causes you to get more sleep than usual? - Two Major Assessment Limit Per Day,Q9_2,TRUE,rank,number,range,1,5,
Q9_3,What does Crystal do that causes you to get more sleep than usual? - Late Starts,Q9_3,TRUE,rank,number,range,1,5,
Q9_4,What does Crystal do that causes you to get more sleep than usual? - No Homework Weekends,Q9_4,TRUE,rank,number,range,1,5,
Q9_6,What does Crystal do that causes you to get more sleep than usual? - ERFs,Q9_6,TRUE,rank,number,range,1,5,
Q11,What academic subject assigns the most homework?,Q11,TRUE,choice,text,"math, science, history, english, language, arts",,,
Q12_1,Do you feel that Crystal has enough extracurricular activities related to your academic interests?,Q12_1,TRUE,choice,number,range,1,5,
Q13_1,What's your favorite subject? (Drag to rank) - Math,Q13_1,TRUE,rank,number,range,1,5,
Q13_2,What's your favorite subject? (Drag to rank) - Science,Q13_2,TRUE,rank,number,range,1,5,
Q13_3,What's your favorite subject? (Drag to rank) - English,Q13_3,TRUE,rank,number,range,1,5,
Q13_4,What's your favorite subject? (Drag to rank) - History,Q13_4,TRUE,rank,number,range,1,5,
Q13_5,What's your favorite subject? (Drag to rank) - World Language,Q13_5,TRUE,rank,number,range,1,5,
Q14_1,What is you favorite Crystal tradition? (Drag to rank) - Snow Day,Q14_1,TRUE,rank,number,range,1,5,
Q14_2,What is you favorite Crystal tradition? (Drag to rank) - Lip Sync,Q14_2,TRUE,rank,number,range,1,5,
Q14_3,What is you favorite Crystal tradition? (Drag to rank) - Pop Week,Q14_3,TRUE,rank,number,range,1,5,
Q14_4,What is you favorite Crystal tradition? (Drag to rank) - Trivia Bowl,Q14_4,TRUE,rank,number,range,1,5,
Q14_5,What is you favorite Crystal tradition? (Drag to rank) - Secret Gryphon,Q14_5,TRUE,rank,number,range,1,5,
Q18,What is your gender identity? - Selected Choice,Q18,TRUE,choice,text,"Male,Female,Non-binary,Other,Prefer not to say",,,"{""Female"": 243 / 472, ""Male"": 212 / 472, ""Other"": 17 / 472, ""Prefer not to say"": 0, ""Non-binary"": 0}"
Q18_4_TEXT,What is your gender identity? - Other - Text,Q18_4_TEXT,FALSE,open,text,,,,
Q19,What is your grade level?,Q19,TRUE,choice,number,range,6,8,"{'6':75,'7':72,'8':71}"
Q20,What is your racial or ethnic identification? (select all that apply),Q20,TRUE,choice,text,"American Indian or Alaskan Native,Middle Eastern,South Asian, East Asian, Southeast Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Other,I prefer not to respond",,,"{""American Indian or Alaskan Native"": 4 / 472, ""Indian"": 0 / 472, ""East Asian"": 231 / 472, ""Other Asian"": 231 / 472, ""Black or African American"": 20 / 472, ""Hispanic or Latino"": 45 / 472, ""Middle Eastern"": 15 / 472, ""Multiracial"": 61 / 472, ""Native Hawaiian or Other Pacific Islander"": 15 / 472, ""White"": 203 / 472, ""Other"": 16 / 472, ""I prefer not to respond"": 19 / 472}"
Q21,What is the highest level of education completed by either of your parents or guardians?,Q21,TRUE,choice,text,"Did not finish highschool,High school diploma or G.E.D,Attended college but did not complete degree,Associates degree(A.A., A.S., etc.),Bachelor's degree(B.A., B.A., etc.),Master's degree(M.A., M.S., etc.),Doctoral or professional degree(Ph.D., J.D., M.D., etc.)",,,
Q22,With what religious affiliation do you most closely identify? - Selected Choice,Q22,TRUE,choice,text,"Catholic,Orthodox(Eastern, Russian, Greek),Protestant Christian,Other Christian(Latter Day Saints, Jehovah's Witness, etc),Hindu,Jewish,Muslim,Sikh,Buddhist, Athiest, Agnostic, Other, prefer not to respond",,,
Q22_11_TEXT,With what religious affiliation do you most closely identify? - Other - Text,Q22_11_TEXT,FALSE,open,text,,,,
Q23,How many people do you live with (including yourself)?,Q23,TRUE,choice,text,"0,1,2,3,4,5,6,7,8+",0,8,
