Row 0,Row 1,Question ID,OptionsProvided,QuestionType,DataType,Response Options,Minimum,Maximum,Distribution
Q1_1,"During Spirit Weeks, how many days do you typically participate?",Q1_1,TRUE,choice,number,range,0,5,
Q2_1,What is your level of satisfaction with the crystal sports experience?,Q2_1,TRUE,choice,number,range,0,10,
Q3_1,What does your free-time vs. obligations balance look like?,Q3_1,TRUE,choice,number,range,0,10,
Q4_1,"Time Audit: Events and Extracurriculars - How many Crystal events do you attend per semester? (i.e., sports games, homecoming, dance, lunar banquet)",Q4_1,TRUE,choice,number,range,0,9,
Q4_2,Time Audit: Events and Extracurriculars - How many hours per week do you spend participating in Crystal extracurriculars?,Q4_2,TRUE,choice,number,range,0,9,
Q4_3,Time Audit: Events and Extracurriculars - How many hours per week do you spend participating in non-Crystal extracurriculars?,Q4_3,TRUE,choice,number,range,0,9,
Q4_4,Time Audit: Events and Extracurriculars - How many hours per week do you spend volunteering and/or doing community service?,Q4_4,TRUE,choice,number,range,0,9,
Q5_1,Time Audit: Academics - How many hours do you spend on homework on a given weekday?,Q5_1,TRUE,choice,number,range,1,6,
Q5_2,Time Audit: Academics - How many hours do you spend on homework on a given weekend (both days combined)?,Q5_2,TRUE,choice,number,range,1,6,
Q6_1,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Q6_1,TRUE,choice,number,range,5,10,
Q6_2,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend?,Q6_2,TRUE,choice,number,range,5,10,
Q7_1,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - Clubs-Period Clubs,Q7_1,TRUE,rank,number,range,1,4,
Q7_2,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - After School Clubs,Q7_2,TRUE,rank,number,range,1,4,
Q7_3,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - Sports,Q7_3,TRUE,rank,number,range,1,4,
Q7_4,What type of Crystal extracurriculars do you feel are most engaging? (Drag to rank) - Theater,Q7_4,TRUE,rank,number,range,1,4,
Q8_1,What type of Crystal events should the administration focus on improving? (Drag to rank) - Arts,Q8_1,TRUE,rank,number,range,1,4,
Q8_2,What type of Crystal events should the administration focus on improving? (Drag to rank) - Culture/Holidays,Q8_2,TRUE,rank,number,range,1,4,
Q8_3,What type of Crystal events should the administration focus on improving? (Drag to rank) - Sports,Q8_3,TRUE,rank,number,range,1,4,
Q8_4,What type of Crystal events should the administration focus on improving? (Drag to rank) - Dances,Q8_4,TRUE,rank,number,range,1,4,
Q9_1,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - No Homework Weekends,Q9_1,TRUE,rank,number,range,1,5,
Q9_2,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - Late Starts,Q9_2,TRUE,rank,number,range,1,5,
Q9_3,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - Two Major Assessment Limit Per Day,Q9_3,TRUE,rank,number,range,1,5,
Q9_4,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - Time Limits on Homework Length,Q9_4,TRUE,rank,number,range,1,5,
Q9_5,What does Crystal do that causes you to get more sleep than usual? (Drag to rank) - ERFs,Q9_5,TRUE,rank,number,range,1,5,
Q10_3,Do you feel that Crystal has enough extracurricular activities related to your academic interests?,Q10_3,TRUE,choice,number,range,1,5,
Q11,Which area do you plan to major in?,Q11,TRUE,choice,text,"STEM,Humanities,don't know",,,
Q12_1,Academic Interests: Classes - Which academic subject assigns the most homework?,Q12_1,TRUE,choice,text,"Math,Science,History,English,Language,Arts,CADS",,,
Q12_2,Academic Interests: Classes - For which department does Crystal need more elective courses?,Q12_2,TRUE,choice,text,"Math,Science,History,English,Language,Arts,CADS",,,
Q13,Are there any elective courses you would like Crystal to offer in the future?,Q13,FALSE,open,text,,,,
Q14,"Would you be interested in Crystal adding interdisciplinary electives (the history of climate change, bioethics, etc)?",Q14,TRUE,choice,text,"Yes,No",,,
Q15,"If yes to the previous, which departments would you most like to collaborate? (Select 2-3)",Q15,TRUE,choice,text,"Math,Science,History,English,Language,Arts,CADS",,,
Q17,What is your gender identity? - Selected Choice,Q17,TRUE,choice,text,"Male,Female,Non-binary,Other,Prefer not to say",,,"{""Female"": 243 / 472, ""Male"": 212 / 472, ""Other"": 17 / 472, ""Prefer not to say"": 0, ""Non-binary"": 0}"
Q17_4_TEXT,What is your gender identity? - Other - Text,Q17_4_TEXT,FALSE,open,text,,,,
Q18,What is your grade level?,Q18,TRUE,choice,number,range,9,12,"{'9':99,'10':93,'11':84,'12':90}"
Q19,What is your racial or ethnic identification? (select all that apply),Q19,TRUE,choice,text,"American Indian or Alaskan Native,Middle Eastern,South Asian, East Asian, Southeast Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Other,I prefer not to respond",,,"{""American Indian or Alaskan Native"": 4 / 472, ""Indian"": 0 / 472, ""East Asian"": 231 / 472, ""Other Asian"": 231 / 472, ""Black or African American"": 20 / 472, ""Hispanic or Latino"": 45 / 472, ""Middle Eastern"": 15 / 472, ""Multiracial"": 61 / 472, ""Native Hawaiian or Other Pacific Islander"": 15 / 472, ""White"": 203 / 472, ""Other"": 16 / 472, ""I prefer not to respond"": 19 / 472}"
